date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:36	86709/86709	---MCZ	200	added ('OK')	application/javascript	etag:W/%225862074b-152b5%22	http://templates.scriptsbundle.com/whitehat/js/jquery.min.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/js/jquery.min.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:37	1067/1067	---MCZ	200	added ('OK')	application/javascript	etag:W/%225862074f-42b%22	http://templates.scriptsbundle.com/whitehat/js/jquery.countTo.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/js/jquery.countTo.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:37	7083/7083	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258620748-1bab%22	http://templates.scriptsbundle.com/whitehat/js/jquery-migrate.min.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/js/jquery-migrate.min.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:38	16795/16795	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258620750-419b%22	http://templates.scriptsbundle.com/whitehat/js/jquery.waypoints.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/js/jquery.waypoints.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:38	3810/3810	---MCZ	200	added ('OK')	application/javascript	etag:W/%225862074d-ee2%22	http://templates.scriptsbundle.com/whitehat/js/jquery.appear.min.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/js/jquery.appear.min.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:39	21267/21267	---MCZ	200	added ('OK')	application/javascript	etag:W/%225862074b-5313%22	http://templates.scriptsbundle.com/whitehat/js/megamenu.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/js/megamenu.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:41	23890/23890	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258620759-5d52%22	http://templates.scriptsbundle.com/whitehat/js/owl-carousel.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/js/owl-carousel.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:41	66664/66664	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258620753-10468%22	http://templates.scriptsbundle.com/whitehat/js/select2.min.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/js/select2.min.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:42	3949/3949	---MCZ	200	added ('OK')	application/javascript	etag:W/%225862074d-f6d%22	http://templates.scriptsbundle.com/whitehat/js/typed.min.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/js/typed.min.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:43	21200/21200	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258620745-52d0%22	http://templates.scriptsbundle.com/whitehat/js/jquery.magnific-popup.min.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/js/jquery.magnific-popup.min.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:45	8375/8375	---MCZ	200	added ('OK')	application/javascript	etag:W/%22586f9a13-20b7%22	http://templates.scriptsbundle.com/whitehat/js/custom.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/js/custom.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:48	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22583ecedc-4e9f%22	http://templates.scriptsbundle.com/whitehat/fonts/glyphicons-halflings-regular.eot	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/fonts/glyphicons-halflings-regular.eot	(from http://templates.scriptsbundle.com/whitehat/css/bootstrap.css)
15:06:49	155713/155713	---MCZ	200	added ('OK')	application/javascript	etag:W/%22583ecfc9-26041%22	http://templates.scriptsbundle.com/whitehat/masterslider/js/masterslider.min.js	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/masterslider/js/masterslider.min.js	(from http://templates.scriptsbundle.com/whitehat/)
15:06:52	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22583ecedc-4e9f%22	http://templates.scriptsbundle.com/whitehat/fonts/glyphicons-halflings-regular.eot?	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/fonts/glyphicons-halflings-regulard41d.eot	(from http://templates.scriptsbundle.com/whitehat/css/bootstrap.css)
15:06:52	18028/18028	---M--	200	added ('OK')	application/octet-stream	etag:%22583ecee6-466c%22	http://templates.scriptsbundle.com/whitehat/fonts/glyphicons-halflings-regular.woff2	C:/Users/Amertyech%20Networks/Desktop/sdasdasdasdasd/templates.scriptsbundle.com/whitehat/fonts/glyphicons-halflings-regular.woff2	(from http://templates.scriptsbundle.com/whitehat/css/bootstrap.css)
